Name/Client,Industry,Date Uploaded,Portal Demo Link,Onedrive Demo Link,Script File,Solution,Use Case Explained,,Client Problem,Instalily AI Capabilities,Benefit to Client,Portal Demo Link,Demo link 
Frog.co,Business (General),5/8/2025,Frog.co Demo,Frog.co Demo,Frog demo script,,,,Music Enthusiasts have a hard time navigating several pages of products to find the right one that meets their needs,"Lily offers a human-like experience, where customers respond to prompts that the AI Agent uses to personalize the pruchase process to find the product that satisfies their needs, the virtual service agents also helps manage returns and issues that come up","Customers get expert guidance, a seamless shopping experience, and effortless post-purchase support",Frog.co Demo,https://portal.instalily.ai/demo/e052ff11-6ef2-49b6-81e8-93fb40d019d1
United Site Services,Rental,4/30/2025,United Site Services,United Site Services,USS Demo Scripts,,,,"Sales Managers receive an influx of vendor leads through Hubspot, and most of the time stay there with little action being taken upon those tasks","Lily agents monitor the lead generation funnel 24/7, categorizes leads based on intent, identifies why leads are stalled, recommends next steps, takes action on sending follow-ups, and allows the sales team to take action on leads that are stalled ","Lily allows sales managers to make leads predicatable, scalable, and easy to manage",United Site Services,https://portal.instalily.ai/demo/07d4984e-6152-477c-aaf8-3f127a90e099
ClaimLogiq ,Healthcare,4/28/2025,ClaimLogiq Demo,ClaimLogiq Demo,NMC - ClaimLogiq Demo,,,,,,,ClaimLogiq Demo,https://portal.instalily.ai/demo/c2a47fb2-a0e9-4018-987a-31149e1c6be3
Primo — Poland Spring,Consumer Goods,4/28/2025,Primo — Poland Spring,Primo — Poland Spring,Primo - Poland Spring Demo,,,,,,,Primo — Poland Spring,https://portal.instalily.ai/demo/f752b5b8-8bd6-4f47-a4cf-89e919847dff
Weimer Bearing & Transmission,Parts Procurement,4/18/2025,Weimer Bearing & Transmission Demo,Weimer Bearing & Transmission Demo,Weimer Bearing & Transmission Demo,,,,,,,Weimer Bearing & Transmission Demo,https://portal.instalily.ai/demo/707fb7e5-dba3-4cec-993b-847401af9387
Fujikura,Industrial Manufacturing,4/17/2025,Fujikura Demo,Fujikura Demo,Fujikura Demo Script,,,,,,,Fujikura Demo,https://portal.instalily.ai/demo/0ee2d14f-365a-4f62-8197-b94857b33df4
HCI & Consolidated Hospitality Supplies Demo,Supply & Distribution,4/3/2025,HCI & Consolidated Hospitality Supplies Demo,HCI & Consolidated Hospitality Supplies Demo,HCI PortCo - Consolidated Hospitality Supplies Demo,,,,,,,HCI & Consolidated Hospitality Supplies Demo,https://portal.instalily.ai/demo/bc2bd02f-7f49-455c-b19e-d6d4d0310262
Lily Unblocks Stalled Revenue for Scottsdale's Sales Team,Procurement,4/2/2025,,,,Sales & Marketing Enablement,,,,,,,
Scottsdale,Financial Services,4/2/2025,Scottsdale Demo,Scottsdale Demo,Scottsdale Demo,,,,,,,Scottsdale Demo,https://portal.instalily.ai/demo/9f7fe393-1a0c-44b7-a095-52147612af39
Cosailor with Multilingual Podcast,Business (General),3/27/2025,Cosailor with Multilingual Podcast Demo,Cosailor with Multilingual Podcast Demo,,,,,,,,Cosailor with Multilingual Podcast Demo,https://portal.instalily.ai/demo/2d318e19-8a3f-4508-9a46-33943cfcfd73
Harman,Industrial Manufacturing,3/25/2025,Harman Demo,Harman Demo,HARMAN International SGE/VSA,,,,,,,Harman Demo,https://portal.instalily.ai/demo/68a3151d-09bc-440c-9693-0a319873ab3f
Old General Cosailor Demo,Business (General),3/24/2025,[Old] General Cosailor Demo,[Old] General Cosailor Demo,cosailor,,,,,,,[Old] General Cosailor Demo,https://portal.instalily.ai/demo/1176769c-4b79-4243-b236-0906f01256da
Lily Drives Revenue for B2B Industrial Packaging,Supply & Distribution,3/22/2025,,,,Smart Search,,,,,,,
Lily Optimizes ITW's Supplier Management and Sustainability,Supply & Distribution,3/21/2025,,,,Operational Efficiency,,,,,,,
Lily Enhances The Harman Audio Shopping and Support Experience,Software & Technology,3/21/2025,,,,Virtual Assistant,,,,,,,
B2B Industrial Packaging Demo,Supply & Distribution,3/21/2025,B2B Industrial Packaging Demo,B2B Industrial Packaging,Industrial Packaging (Copy of Imperial Dade SGE/VSA),,,,,,,B2B Industrial Packaging Demo,https://portal.instalily.ai/demo/4adf833d-0487-47e0-b485-b34497e7fca1
ITW,Industrial Manufacturing,3/19/2025,ITW Demo,ITW Demo,ITW Demo Script Revised,,,,,,,ITW Demo,https://portal.instalily.ai/demo/8cb0db80-c906-4f87-805d-881adc0b11ab
Dupont Tedlar ,Industrial Manufacturing,3/10/2025,Dupont Tedlar Demo,Dupont Tedlar Demo,DuPont Demo Script,,,,,,,Dupont Tedlar Demo,https://portal.instalily.ai/demo/f6d7330f-8861-4eb7-84f9-2ee8a0a7c541
Lily Transform's Dupont Tedler's Sales Process,Industrial Manufacturing,3/7/2025,,,,Sales & Marketing Enablement,,,,,,,
Lily Enhances The Wine Enthusiast Shopping Experience,Consumer Goods,3/7/2025,,Wine Enthusiast,,Virtual Assistant,,,,,,,
Lily Transforms Asahi's Accounts Payable (AP) Operations,Consumer Goods,3/7/2025,,,,Virtual Assistant,,,,,,,
Asahi,Consumer Goods,3/7/2025,Asahi Demo,Asahi Demo,Asahi demo rough draft,,,,,,,Asahi Demo,https://portal.instalily.ai/demo/4a38a28e-01ba-4317-98a4-48192d6e387c
Wine Enthusiast ,Consumer Goods,3/7/2025,Wine Enthusiast Demo,Wine Enthusiast Demo,Wine Enthusiast VSA Demo,,,,,,,Wine Enthusiast Demo,https://portal.instalily.ai/demo/f8cce18d-9397-4b91-8dee-76c309052de5
Odyssey,Financial Services,2/21/2025,Odyssey Demo,Odyssey Demo,OdysseyRe Demo Script,,,,,,,Odyssey Demo,https://portal.instalily.ai/demo/1722762b-d181-4899-9a8b-8ca25cf4ecce
Lily IQ: Real-time Insights & Reporting For Underwriters,Business (General),2/20/2025,,,,,,,,,,,
Lily Enhances Customer Experience and Fulfillment at Baldor Specialty Foods ,Consumer Goods,2/20/2025,,Baldor,,Operational Efficiency,,,,,,,
Baldor,Consumer Goods,2/19/2025,Baldor Specialty Foods Demo,Baldor Specialty Foods Demo,Baldor Specialty Foods Demo Script,,,,,,,Baldor Specialty Foods Demo,https://portal.instalily.ai/demo/c2aa8b8e-2853-452b-a73d-0b758b3f3eb3
Fleetpride,Parts Procurement,2/18/2025,Fleetpride Demo,Fleetpride Demo,FleetPride Demo Script,,,,,,,Fleetpride Demo,https://portal.instalily.ai/demo/b7121f49-91bb-489b-ba55-6adc08e220ec
"Lily Optimizes FleetPride's Inventory, Fulfillment, and Warehouse Operations",Parts Procurement,2/17/2025,,FleetPride,,Operational Efficiency,,,,,,,
Lily Helps DealterTire Simplify and Streamline Procurement,Parts Procurement,2/13/2025,,,,Operational Efficiency,,,,,,,
Lily Helps Automate Weekly Marketing Decks for Canada Goose,Retail,2/13/2025,,Canada Goose,,Sales & Marketing Enablement,,,,,,,
Lily Optimizes Marketing Efforts By Delivering Personalized Email Campaigns ,Healthcare,2/13/2025,,,,Sales & Marketing Enablement,,,,,,,
Lily Powers Personalized Gifting & Growth for John Hardy,Luxury Goods,2/13/2025,,,,Sales & Marketing Enablement,,,,,,,
AI-Powered Smart Shopping & Service At Darn Tough Socks,Retail,2/13/2025,,,,Smart Search,,,,,,,
AI-Powered Smart Shopping & Service At Darn Tough Socks - Automates Post-Purchase Processes Like Warranty Claims,Retail,2/13/2025,,,,Virtual Assistant,,,,,,,
"Lily Enhances Smart Search for Evident Scientific, Boosting Sales & Customer Experience",,2/13/2025,,Evident Scientific,,Virtual Assistant,,,,,,,
Athena Health,Healthcare,2/13/2025,Athena Health Demo,Athena Health Demo,Athenahealth Demo,,,,,,,Athena Health Demo,https://portal.instalily.ai/demo/3ee7c16c-a1d9-40b9-8e91-e1e2bfd11e57
Canada Goose,Retail,2/11/2025,Canada Goose Demo,Canada Goose Demo,Canada Goose Demo,Sales & Marketing Enablement,,,,,,Canada Goose Demo,https://portal.instalily.ai/demo/fc89e733-6bc8-4b37-a2bd-80bcd4958a76
Lily Enhances Database Management and Operational Efficiency,Software & Technology,2/11/2025,,,,Sales & Marketing Enablement,,,,,,,
Enterprise DB Cosailor,Business (General),2/11/2025,Enterprise DB Cosailor Demo,Enterprise DB Cosailor Demo,EnterpriseDB CoSailor Demo,,,,,,,Enterprise DB Cosailor Demo,https://portal.instalily.ai/demo/5ade8193-cf45-44ee-b18d-6d1177173abd
Darn Tough,Retail,2/10/2025,Darn Tough Demo Part 2 — VSA,Darn Tough Demo Part 2 — VSA,darn tough demo,,,,,,,Darn Tough Demo Part 2 — VSA,https://portal.instalily.ai/demo/5b8156c1-b022-4d89-b7a8-601ac961a7be
Darn Tough,Retail,2/10/2025,Darn Tough Demo Part 1 — AI Search,Darn Tough Demo Part 1 — AI Search,darn tough demo,,,,,,,Darn Tough Demo Part 1 — AI Search,https://portal.instalily.ai/demo/4a55dfe7-406b-46a0-bbc3-754a412d70d8
Dealer Tire,Parts Procurement,2/10/2025,Dealer Tire Demo,Dealer Tire Demo,DealerTire Product Demo,,,,,,,Dealer Tire Demo,https://portal.instalily.ai/demo/59c00c00-b368-4053-b615-2ec0cccc5ada
"Lily Helps Drive Revenue for Imperial Dadeby Catering to High Intent Users and Delivering Fast, Relevant Search Results",Procurement,2/5/2025,Imperial Dade Part 1 — AI Search,Imperial Dade Part 1 — AI Search,,Smart Search,,,,,,Imperial Dade Part 1 — AI Search,https://portal.instalily.ai/demo/f65659f0-5147-4b25-8d27-0b473df6678f
Imperial Dade Agents Swiftly Resolve Customer Inquiries,Procurement,2/5/2025,Imperial Dade Demo,Imperial Dade Demo,,Virtual Assistant,,,,,,Imperial Dade Demo,https://portal.instalily.ai/demo/822bd724-6278-4d43-b0ca-2f0b5ebbc92a
John Hardy,Retail,2/5/2025,John Hardy Demo,John Hardy Demo,John Hardy DEMO SCRIPT for VSA/ SLACK,,,,,,,John Hardy Demo,https://portal.instalily.ai/demo/18ff8ca4-223f-49ab-ac30-aff66c7dab35
Index Fresh,Procurement,2/4/2025, Index Fresh Demo,Index Fresh Demo,Index Fresh Procurement Demo Script,Logistics & Distribution,,,,,, Index Fresh Demo,https://portal.instalily.ai/demo/b9f12579-79cc-4129-99b4-9100d1d8ea0d
Lululemon,Retail,2/4/2025,Lululemon Demo,Lululemon Demo,Script for Lululemon,Sales & Marketing Enablement,,,,,,Lululemon Demo,https://portal.instalily.ai/demo/9d9f1e10-adf5-43e3-affe-6604a79ff13d
Evident Scientific,Healthcare,2/4/2025,Evident Scientific Demo,Evident Scientific Demo,SGE VSA Evident scientific,,,,,,,Evident Scientific Demo,https://portal.instalily.ai/demo/080561fa-cf7b-4485-be59-f003f882674f
Partstown,Procurement,1/31/2025,Partstown Demo,Partstown Demo,,Virtual Assistant,,,,,,Partstown Demo,https://portal.instalily.ai/demo/efa26b40-feb6-450a-b21b-ec695e6e78dc
Partstown,Procurement,1/31/2025,Lily at Partstown,Lily at Partstown,,Virtual Assistant,,,,,,Lily at Partstown,https://portal.instalily.ai/demo/7adec333-23ce-40e3-a0c7-9b7153088564
Partstown,Procurement,1/31/2025,PID Search Demo,PID Search Demo,NEW PID Technical Sales demo script,Virtual Assistant,,,,,,PID Search Demo,https://portal.instalily.ai/demo/2f3802f5-68ea-45bf-900a-6734ee12096e
Quality Enclosures ,Construction,1/30/2025,Quality Enclosures AI Agent,Quality Enclosures AI Agent,Demo Script: Quality Enclosures AI Agent,Digitalization,,,,,,Quality Enclosures AI Agent,https://portal.instalily.ai/demo/78ca8c05-b71b-4eaa-b592-1ea770760251
Heritage Pool,Procurement,1/30/2025,Heritage Pool VSA Demo,Heritage Pool VSA Demo,Instalily Demo 3: Heritage VSA,Virtual Assistant,,,,,,Heritage Pool VSA Demo,https://portal.instalily.ai/demo/d0521e74-3d81-4695-9af9-428f6f92fb3e
"Lily Helps Sales Managers Own Their Day, Focus on Priorities, and Drive Sales",Supply & Distribution,1/29/2025,,,,Sales & Marketing Enablement,,,,,,,
Bob's Discount Furniture,HVAC,1/29/2025,Bob's Discount Furniture Demo,Bob's Discount Furniture Demo,bobs Revised Script: Seamless AI-Powered Customer Service at Bob's Discount Furniture,Smart Search,,,,,,Bob's Discount Furniture Demo,https://portal.instalily.ai/demo/e701e6f3-5f25-47da-8ef9-5977ca2c498c
Imperial Dade,Procurement,1/29/2025,Imperial Dade Part 1 — AI Search,Imperial Dade Part 1 — AI Search,Imperial Dade SGE/VSA,Virtual Assistant,,,,,,Imperial Dade Part 1 — AI Search,https://portal.instalily.ai/demo/f65659f0-5147-4b25-8d27-0b473df6678f
Imperial Dade,Procurement,1/29/2025,Imperial Dade Part 2 — VSA,Imperial Dade Part 2 — VSA,Imperial Dade SGE/VSA,Virtual Assistant,,,,,,Imperial Dade Part 2 — VSA,https://portal.instalily.ai/demo/8c0e26e5-b3e1-43c9-8205-091fc2fa0f7a
Imperial Dade,Procurement,1/29/2025,Imperial Dade Demo,Imperial Dade Demo,Script: Bain Imperial Dade PID Demo,Virtual Assistant,,,,,,Imperial Dade Demo,https://portal.instalily.ai/demo/822bd724-6278-4d43-b0ca-2f0b5ebbc92a
Lily Streamlines Contract Lifecycle Management (CLM),Financial Services,1/21/2025,,,,Operational Efficiency,,,,,,,
Lily Helps SRS Distribution Drive 10x Sales Outcomes,Supply & Distribution,1/21/2025,SRS Cosailor Demo,,,Sales & Marketing Enablement,,,,,,SRS Cosailor Demo,https://portal.instalily.ai/demo/700d9365-2822-4164-8d3a-28b27491895b
United Rentals Search Experience,Rental,1/20/2025,United Rentals Search Experience Part A,United Rentals Search Experience Part A,,Smart Search,,,,,,United Rentals Search Experience Part A,https://portal.instalily.ai/demo/6807480c-3f97-4aad-af70-c9d35e81c950
Statco's Virtual Service Assistant,Procurement,1/20/2025,Statco Demo,Statco Demo,,Virtual Assistant,,,,,,Statco Demo,https://portal.instalily.ai/demo/e8f35177-1319-40e5-acf8-860f2e5ed49a
Transparent Partners' Customer Segmentation and Activation for Marketers,Business (General),1/6/2025,,,,Sales & Marketing Enablement,,,,,,,
Boston Scientific Smart Sourcer for Procurement Managers,Parts Procurement,12/22/2024,Boston Scientific Demo,Boston Scientific Demo,,Smart Search,,,,,,Boston Scientific Demo,https://portal.instalily.ai/demo/400baaf0-c024-4a53-a212-bcb44238b33c
CAMO AI Generative Search,Industrial Manufacturing,12/22/2024,Camo Demo,Camo Demo,,Smart Search,,,,,,Camo Demo,https://portal.instalily.ai/demo/16b16039-1aa8-4d3a-b82f-b6526878404a
Enhancing the Hillman Group Purchasing Experience,Procurement,12/22/2024,Hillman Demo,Hillman Demo,,Virtual Assistant,,,,,,Hillman Demo,https://portal.instalily.ai/demo/74645df8-1ef2-44e8-af1a-e6d79a67ddf9
National Oak Distributors' Virtual Sales Assistant,Supply & Distribution,12/22/2024,National Oak,National Oak,,Virtual Assistant,,,,,,National Oak,https://portal.instalily.ai/demo/166a67e4-8bee-4372-8f6a-c9e04969064e
Service Logic Virtual Assistant,Procurement,12/22/2024,,,,Virtual Assistant,,,,,,,
Transforming WESCO Procurement Experience,Procurement,12/22/2024,WESCO Demo,WESCO Demo,,Virtual Assistant,,,,,,WESCO Demo,https://portal.instalily.ai/demo/5ca0e909-de77-40be-8854-2673ae14dde1
Under Armour's Virtual Service Assistant,Retail,12/22/2024,Under Armour Demo,Under Armour Demo,,Virtual Assistant,,,,,,Under Armour Demo,https://portal.instalily.ai/demo/4f241c46-dc0d-4d39-8f7d-8009f425e691
Worldwide Electric's Intelligent Virtual Sales Assistant,Procurement,12/22/2024,AEA WorldWide Electric Demo,AEA WorldWide Electric Demo,,Virtual Assistant,,,,,,AEA WorldWide Electric Demo,https://portal.instalily.ai/demo/e8ebfaf5-44d4-450f-a527-c6fef281dc98
Dealer Tire AI Sales and Operations Assistant,Procurement,11/17/2024,Dealer Tire AI Demo,Dealer Tire AI Demo,,Operational Efficiency,,,,,,Dealer Tire AI Demo,https://portal.instalily.ai/demo/550c9b48-dd6f-4065-9e21-faa8fc0876fe
Enhance Member Engagement for Omada Health,Healthcare,11/15/2024,Omada Demo,Omada Demo,,Client Acquisition & Engagement,,,,,,Omada Demo,https://portal.instalily.ai/demo/2d6e5a63-1cb9-4740-967f-f139894810de
Lily Helps GMS Account Managers Streamline Stock Management and Delivery ,Supply & Distribution,11/15/2024,GMS Demo,GMS Demo,,Logistics & Distribution,,,,,,GMS Demo,https://portal.instalily.ai/demo/4c229982-5859-4996-bf61-2736b448d6ce
Help Ryerson Buyers Quick Smart Decisions To Source and Manage Materials,Procurement,11/15/2024,Ryerson Demo,Ryerson Demo,,Operational Efficiency,,,,,,Ryerson Demo,https://portal.instalily.ai/demo/2ce50d27-9e04-4fa0-b306-f4e5fbc46a5e
Newell Brands and How Lily Can Help Manage Tasks Typically Done By a Human Representative,Consumer Goods,11/15/2024,Newell Brands Voice Agent Part A,Newell Brands Voice Agent Part A,,Operational Efficiency,,,,,,Newell Brands Voice Agent Part A,https://portal.instalily.ai/demo/1c8025e0-a935-4ea0-841a-d0791c72b145
PartsSource Pro Automate Key Workflows,Parts Procurement,11/15/2024,PartsSource,PartsSource,,Operational Efficiency,,,,,,PartsSource,https://portal.instalily.ai/demo/0b88f510-e65f-4fb1-a9cf-e11d0386eb14
Home Depot Pros Find Right Tools and Equipment for Their Job,Construction,11/15/2024,Home Depot Demo,Home Depot Demo,,Smart Search,,,,,,Home Depot Demo,https://portal.instalily.ai/demo/499475eb-e73e-4ce5-8e71-e02d931d1728
Ferguson Search Experience,HVAC,11/15/2024,Ferguson Search Experience Demo,,,Virtual Assistant,,,,,,Ferguson Search Experience Demo,https://portal.instalily.ai/demo/81a73152-1b73-41bd-a488-bfad8ebed25f
"Identifies, Triages, and Resolves Customers Service Inquiries for Feedonomics",Procurement,11/15/2024,,,,Virtual Assistant,,,,,,,
Lily Helps ADI Drive B2B Revenue,Supply & Distribution,11/15/2024,ADI Demo,ADI Demo,,Virtual Assistant,,,,,,ADI Demo,https://portal.instalily.ai/demo/b349e96c-39a3-40b3-a2ee-0be441c277f0
Lily Helps Kendall Electric Customers Troubleshoot and Order The Right Parts,Procurement,11/15/2024,Kendall Demo,Kendall Demo,,Virtual Assistant,,,,,,Kendall Demo,https://portal.instalily.ai/demo/5418e8f9-7439-46db-9705-4ee35962bc69
Lily Helps Omnicable Streamlines and Personalizes The Procurement Process To Enhance Customer Experience and Emergency Cable Services ,Procurement,11/15/2024,OmniCable Demo,OmniCable Demo,,Virtual Assistant,,,,,,OmniCable Demo,https://portal.instalily.ai/demo/8af7ea4a-0cae-4ed2-8f67-8ddc46102b3d
Lily Transforms Ellsworth Adhesives National Account Services Teams Into Around-The-Clock Experts,Supply & Distribution,11/15/2024,Ellsworth Demo,Ellsworth Demo,,Virtual Assistant,,,,,,Ellsworth Demo,https://portal.instalily.ai/demo/3b374662-ca9a-4ccc-9ff0-8698c41ca279
Streamline Fullbay's By Eliminating The Need of Human Oversight In Multple Stages of The Workflow,Supply & Distribution,8/9/2024,Fullbay Demo,Fullbay Demo,,Operational Efficiency,,,,,,Fullbay Demo,https://portal.instalily.ai/demo/96f9502b-1c82-4ec9-b3d0-bb783f9af009
